,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
385,ASIANPAINT,EQ,871.0,877.9,859.95,875.35,876.6,872.55,1072444,932520520.1,2016-03-18,26551,INE021A01026
386,ASIANPAINT,EQ,904.5,911.9,884.0,886.4,885.3,900.65,1716479,1539872722.9,2016-01-06,51374,INE021A01026
387,ASIANPAINT,EQ,879.95,883.5,850.05,868.55,869.8,872.9,901426,783222033.4,2016-01-13,38489,INE021A01026
388,ASIANPAINT,EQ,870.0,896.0,870.0,894.75,895.0,876.2,810951,719190518.55,2016-03-10,42271,INE021A01026
389,ASIANPAINT,EQ,884.25,886.55,875.0,885.2,882.45,874.35,685762,604570897.7,2016-04-18,35700,INE021A01026
390,ASIANPAINT,EQ,1195.0,1195.0,1174.9,1183.0,1181.5,1191.2,817715,965858761.8,2016-09-26,26415,INE021A01026
391,ASIANPAINT,EQ,941.95,947.55,929.8,936.15,937.65,932.2,1024529,960592859.85,2016-12-08,56690,INE021A01026
392,ASIANPAINT,EQ,1208.0,1210.0,1180.8,1184.6,1183.0,1209.5,873434,1040081684.5,2016-10-07,37252,INE021A01026
393,ASIANPAINT,EQ,862.0,863.8,830.6,835.25,835.0,856.0,997874,838547451.6,2016-02-18,36496,INE021A01026
394,ASIANPAINT,EQ,925.9,928.95,899.85,908.2,900.0,918.45,1335202,1222012425.7,2016-11-18,58937,INE021A01026
395,ASIANPAINT,EQ,1049.3,1074.4,1047.15,1070.65,1072.0,1047.05,734354,778018184.25,2016-07-25,30168,INE021A01026
396,ASIANPAINT,EQ,1184.2,1203.0,1184.2,1192.55,1195.9,1183.0,532323,635864744.5,2016-09-27,23009,INE021A01026
397,ASIANPAINT,EQ,882.0,885.5,870.2,872.9,872.4,873.85,998419,873124973.85,2016-01-12,41484,INE021A01026
398,ASIANPAINT,EQ,883.0,891.55,869.0,872.35,871.1,886.4,990333,869897649.9,2016-01-07,26249,INE021A01026
399,ASIANPAINT,EQ,886.6,890.1,858.4,865.8,866.0,880.25,1039977,904469670.55,2016-03-04,41836,INE021A01026
400,ASIANPAINT,EQ,900.0,903.7,891.55,898.35,898.4,894.75,1043602,938450329.0,2016-03-11,48829,INE021A01026
401,ASIANPAINT,EQ,834.95,856.9,829.0,854.7,856.8,835.25,799360,676422929.55,2016-02-19,43918,INE021A01026
402,ASIANPAINT,EQ,1227.0,1227.3,1208.85,1216.6,1214.0,1212.65,1391322,1691569043.85,2016-10-13,73168,INE021A01026
403,ASIANPAINT,EQ,1210.1,1222.4,1201.7,1209.5,1210.0,1208.75,746006,906029554.1,2016-10-06,45096,INE021A01026
